iteration: 500 	 runtime: 5.002001523971558 	 SAT: 88.4823
iteration: 2500 	 runtime: 17.52311873435974 	 SAT: 89.3821
iteration: 2500 	 runtime: 17.396239519119263 	 SAT: 88.1224
iteration: 2500 	 runtime: 17.47041416168213 	 SAT: 88.1224
iteration: 2500 	 runtime: 17.478222370147705 	 SAT: 88.1524
iteration: 2500 	 runtime: 17.124910831451416 	 SAT: 88.7223
iteration: 2500 	 runtime: 18.89342451095581 	 SAT: 88.3323
iteration: 2500 	 runtime: 16.904333114624023 	 SAT: 87.8824
iteration: 2500 	 runtime: 16.222111463546753 	 SAT: 87.7924
iteration: 3000 	 runtime: 19.239902019500732 	 SAT: 87.7325
iteration: 3000 	 runtime: 20.871776580810547 	 SAT: 88.0024
iteration: 3000 	 runtime: 18.820192337036133 	 SAT: 88.4823
iteration: 3000 	 runtime: 18.981263399124146 	 SAT: 84.5531
iteration: 3000 	 runtime: 20.179832458496094 	 SAT: 84.8230
iteration: 3000 	 runtime: 19.784513473510742 	 SAT: 89.0222
iteration: 3000 	 runtime: 20.62777614593506 	 SAT: 88.6623
iteration: 3000 	 runtime: 19.30039954185486 	 SAT: 84.7630
iteration: 3000 	 runtime: 20.171987056732178 	 SAT: 87.9424
iteration: 3000 	 runtime: 19.803984880447388 	 SAT: 88.3323
iteration: 3500 	 runtime: 22.096628665924072 	 SAT: 86.8326
iteration: 3500 	 runtime: 25.79280734062195 	 SAT: 88.4223
iteration: 3500 	 runtime: 25.111557245254517 	 SAT: 86.5927
iteration: 3500 	 runtime: 22.905721187591553 	 SAT: 86.5327
iteration: 3500 	 runtime: 22.764243602752686 	 SAT: 86.8326
iteration: 3500 	 runtime: 22.238216638565063 	 SAT: 86.0228
iteration: 3500 	 runtime: 21.563756704330444 	 SAT: 86.8026
iteration: 3500 	 runtime: 21.479829788208008 	 SAT: 87.0426
iteration: 3500 	 runtime: 21.4010009765625 	 SAT: 86.7127
iteration: 3500 	 runtime: 22.270386457443237 	 SAT: 88.4223
iteration: 4000 	 runtime: 24.47126865386963 	 SAT: 87.7025
iteration: 4000 	 runtime: 23.999857425689697 	 SAT: 87.2825
iteration: 4000 	 runtime: 24.230166912078857 	 SAT: 87.4025
iteration: 4000 	 runtime: 26.371505975723267 	 SAT: 88.0624
iteration: 4000 	 runtime: 26.844901084899902 	 SAT: 88.0024
iteration: 4000 	 runtime: 25.63368558883667 	 SAT: 87.7624
iteration: 4000 	 runtime: 24.167734622955322 	 SAT: 87.4325
iteration: 4000 	 runtime: 25.948935747146606 	 SAT: 87.4925
iteration: 4000 	 runtime: 26.878087759017944 	 SAT: 86.9226
iteration: 4000 	 runtime: 26.67702889442444 	 SAT: 86.8026
iteration: 4500 	 runtime: 28.771534204483032 	 SAT: 87.1326
iteration: 4500 	 runtime: 29.90075659751892 	 SAT: 87.8524
iteration: 4500 	 runtime: 29.81783366203308 	 SAT: 87.3725
iteration: 4500 	 runtime: 28.001463413238525 	 SAT: 86.2028
iteration: 4500 	 runtime: 27.961344003677368 	 SAT: 87.7624
iteration: 4500 	 runtime: 27.031317234039307 	 SAT: 87.1626
iteration: 4500 	 runtime: 27.176740884780884 	 SAT: 87.4025
iteration: 4500 	 runtime: 27.945832014083862 	 SAT: 88.3323
iteration: 4500 	 runtime: 28.18885636329651 	 SAT: 87.6125
iteration: 4500 	 runtime: 28.58608865737915 	 SAT: 87.5525
iteration: 5000 	 runtime: 32.48036813735962 	 SAT: 87.5825
iteration: 5000 	 runtime: 35.26681113243103 	 SAT: 88.3023
iteration: 5000 	 runtime: 35.2868230342865 	 SAT: 87.0426
iteration: 5000 	 runtime: 32.10429620742798 	 SAT: 88.2424
iteration: 5000 	 runtime: 32.66140675544739 	 SAT: 87.7325
iteration: 5000 	 runtime: 33.1801221370697 	 SAT: 88.2124
iteration: 5000 	 runtime: 34.5562846660614 	 SAT: 88.5123
iteration: 5000 	 runtime: 33.25527477264404 	 SAT: 86.8926
iteration: 5000 	 runtime: 30.608360290527344 	 SAT: 88.4223
iteration: 5000 	 runtime: 31.898632526397705 	 SAT: 88.0324
