Students	1176
327	450 657 597 560 
328	312 311 308 479 
329	734 23 
330	717 747 192 350 
331	692 71 258 
332	322 322 500 548 
333	157 352 108 251 
334	585 637 123 629 
335	563 202 111 567 
336	709 709 60 484 359 359 
337	132 618 108 305 
338	299 7 719 
339	737 493 651 737 208 651 
340	466 322 322 500 
341	466 213 528 
342	58 632 251 460 
343	585 547 548 651 651 
344	113 691 24 40 
345	606 504 
346	442 309 406 528 321 
347	412 128 11 133 
348	311 235 267 350 
349	228 440 253 163 
350	535 238 328 163 
351	708 578 
352	633 290 71 258 
353	308 331 516 40 
354	115 7 23 
355	487 322 322 500 548 
356	495 573 
357	615 684 69 359 359 
358	28 71 258 
359	485 39 478 83 
360	585 375 258 
361	572 137 687 530 433 
362	113 737 322 322 737 71 
363	295 359 684 184 359 
364	709 709 632 374 704 
365	585 337 328 704 
366	224 328 
367	500 462 163 603 458 
368	450 437 632 546 
369	189 608 747 400 
370	697 466 412 651 651 
371	7 704 692 305 
372	368 549 224 69 
373	328 
374	665 651 514 239 651 
375	347 571 129 536 
376	694 386 268 376 
377	704 618 386 313 
378	7 18 
379	696 268 62 204 720 
380	325 563 313 359 359 
381	202 308 514 374 
382	213 680 179 542 
383	509 268 91 69 204 
384	727 442 554 204 328 
385	563 514 336 3 385 
386	632 479 359 376 359 
387	476 388 479 359 359 
388	412 45 416 651 651 
389	659 85 454 440 
390	440 462 433 
391	157 309 469 11 239 
392	228 311 111 651 651 
393	344 106 651 374 651 
394	220 691 181 183 
395	322 322 365 631 62 729 729 
396	18 72 40 
397	331 644 296 701 
398	738 313 209 671 
399	115 45 457 374 
400	712 701 
401	193 370 360 204 
402	737 516 651 737 258 651 613 
403	98 202 632 60 
404	487 651 187 651 489 
405	556 337 359 704 359 
406	487 63 573 458 
407	285 17 376 3 
408	709 704 709 313 375 
409	98 524 296 
410	500 548 573 239 
411	709 709 21 669 308 
412	370 572 306 690 
413	618 632 15 359 359 
414	26 549 323 590 318 
415	535 615 479 401 
416	21 108 192 484 3 
417	395 533 720 192 
418	93 344 62 63 11 
419	691 502 481 484 
420	413 295 347 
421	202 481 477 183 
422	93 69 63 149 
423	202 479 478 714 
424	585 737 651 737 701 651 
425	502 355 217 478 
426	277 21 378 
427	391 644 404 
428	549 295 174 71 258 
429	7 704 386 698 
430	585 58 224 
431	379 365 412 573 
432	193 289 386 91 
433	124 282 318 392 22 
434	364 71 258 
435	235 128 147 
436	127 747 563 297 297 
437	252 437 600 557 489 
438	323 627 209 574 603 
439	347 631 333 333 385 
440	598 697 730 446 
441	709 457 709 359 682 359 
442	82 189 84 119 
443	704 309 313 359 359 
444	19 322 322 365 333 333 458 
445	737 549 412 651 737 651 
446	240 445 9 462 
447	466 709 33 709 590 478 
448	466 71 258 553 
449	521 33 
450	692 137 574 
451	313 350 72 9 
452	214 395 
453	632 355 184 359 359 
454	581 15 359 73 359 
455	295 632 374 576 
456	309 297 684 297 714 
457	486 475 405 15 
458	671 625 701 
459	585 63 375 560 
460	322 322 343 475 365 
461	632 79 359 385 359 
462	151 147 159 
463	313 79 740 
464	308 612 52 565 
465	368 203 144 132 
466	487 363 341 192 
467	172 313 632 359 359 
468	236 108 313 60 
469	552 98 405 257 546 
470	202 308 612 229 
471	737 549 341 651 737 651 
472	455 193 45 63 
474	312 108 436 188 
475	669 213 528 
476	524 296 24 702 
477	388 631 573 328 321 
478	254 473 695 268 63 
479	15 199 58 478 
480	669 213 528 
481	341 313 632 359 359 
482	7 113 424 144 
483	709 709 399 444 217 319 
484	737 344 412 651 737 651 
485	352 580 360 98 
486	466 325 192 305 321 
487	323 19 386 160 160 
488	738 
489	282 313 651 651 22 
490	282 91 344 651 651 22 
491	547 322 322 548 333 333 
492	236 21 355 274 
493	21 308 179 542 
494	235 408 701 415 
495	26 709 172 709 359 359 
496	193 21 412 45 
497	691 24 183 239 
498	585 295 350 72 
499	359 337 344 15 359 
500	322 322 412 632 359 359 
501	121 747 474 297 297 
502	127 224 445 359 359 
503	659 466 33 341 
504	224 
505	308 411 188 242 
506	487 500 163 
507	737 21 651 737 478 651 
508	669 565 305 478 
509	444 91 651 701 651 
510	370 108 457 239 
511	717 19 412 106 
512	672 701 672 117 
513	487 305 
514	669 528 71 258 433 
515	612 402 465 595 
516	113 61 481 239 
517	26 408 412 238 
518	631 365 573 319 
519	19 631 365 63 333 333 
520	295 632 359 195 359 
521	669 213 528 258 
522	655 62 573 
523	202 174 353 
524	202 524 296 
525	520 108 147 375 
526	251 328 
527	466 618 313 359 359 
528	308 436 188 321 576 
529	506 18 546 597 
530	120 115 344 651 651 
531	322 322 313 729 740 729 
532	308 62 514 
533	654 93 344 610 
534	261 202 123 460 
535	113 91 546 701 
536	659 581 313 217 
537	563 412 675 29 439 
538	15 737 344 651 737 651 
539	585 327 365 573 
540	118 360 454 202 
542	295 704 172 209 
543	202 365 573 
544	704 174 174 459 603 718 
545	290 474 174 174 24 
546	311 295 315 675 
547	251 393 671 701 
548	7 144 363 662 
549	39 684 720 238 
550	588 437 717 
551	322 322 500 44 548 
552	669 52 
553	312 311 52 
554	549 313 217 359 359 
555	549 181 412 651 651 
556	45 24 662 
557	81 462 458 
558	659 308 516 319 
559	113 611 516 481 321 
560	84 251 675 
561	113 665 308 71 258 
562	7 113 144 507 
563	418 7 716 444 140 
564	144 71 258 
565	62 204 746 
566	455 402 404 702 
567	655 388 573 
568	545 102 39 15 
569	124 405 106 433 
570	158 91 45 1 
571	591 607 600 551 512 
572	344 689 662 
573	297 322 322 297 359 208 359 
574	315 445 15 29 
575	279 279 365 333 645 333 
576	747 337 297 297 71 258 
577	611 378 52 436 
578	424 515 262 195 
579	115 14 124 
580	737 618 204 651 737 651 
582	726 442 728 677 
583	120 313 651 651 736 
584	172 313 15 701 
585	737 313 737 632 
586	611 490 106 63 
587	202 331 337 106 
588	363 341 313 359 359 
589	631 45 333 239 333 
590	115 355 217 359 359 
591	325 309 313 209 
592	709 180 132 709 590 478 
593	193 737 322 322 204 737 
594	337 209 439 359 359 
595	58 111 28 426 
596	506 625 
597	619 619 651 712 40 651 
598	134 224 445 15 
599	108 346 714 
600	134 322 322 548 333 333 
601	547 548 729 729 385 
602	323 202 209 445 
603	98 283 292 
604	694 18 412 305 
605	450 113 18 546 
606	704 684 374 385 
607	68 
608	412 374 359 433 359 
609	682 172 202 
610	279 279 305 497 
611	397 317 648 130 
612	334 712 
613	236 359 651 632 651 359 
614	466 172 45 359 359 
615	454 239 
616	697 554 536 129 
617	465 481 546 701 
618	601 439 359 592 359 
619	45 11 432 
620	63 333 433 458 610 333 
621	159 
622	337 336 359 576 359 
623	704 615 720 459 
624	202 313 24 477 
625	659 457 692 359 359 
626	363 98 202 313 
627	228 33 720 375 
628	737 545 651 737 376 651 
629	295 29 71 258 652 
630	466 328 71 258 
631	203 202 620 478 
632	24 481 
633	121 202 308 399 
634	147 433 
635	171 684 209 217 
636	333 401 460 740 333 
637	737 91 651 737 478 651 
638	115 172 615 15 
639	153 193 228 535 
640	213 680 179 542 528 
641	413 437 327 492 
642	692 535 313 651 651 
643	244 574 613 4 
644	254 659 305 71 258 
645	89 591 500 524 548 
646	688 292 147 
647	121 172 563 359 359 
648	144 669 111 565 
649	307 472 304 304 359 359 
650	115 295 386 217 
651	737 341 388 651 737 651 
652	15 322 322 386 71 258 
653	15 375 652 704 
654	118 665 202 163 
655	454 746 603 
656	172 563 439 359 359 
657	113 667 28 460 
658	236 347 704 4 
659	686 39 108 615 184 
660	7 669 308 565 
661	454 572 279 279 
662	172 563 202 546 
663	130 224 147 375 
664	500 631 548 412 574 
665	290 58 388 238 
666	93 268 344 128 239 
667	585 606 743 
668	397 455 326 631 
669	737 134 297 632 651 737 297 651 
670	58 615 386 350 
671	547 548 313 333 333 
672	49 500 548 375 
673	322 322 365 313 333 321 333 
674	7 692 24 328 
675	297 388 297 72 457 
676	360 460 375 163 718 
677	27 309 28 651 651 
678	457 202 632 359 359 
679	692 108 632 336 
680	58 443 
681	454 572 17 12 
682	691 296 257 175 
683	113 687 29 71 258 
684	545 549 535 460 359 359 
685	611 516 
686	659 460 546 73 
687	322 322 111 478 71 258 
688	442 199 747 546 
689	354 589 313 651 651 
690	113 691 279 279 18 
691	527 506 388 623 
692	589 631 333 353 333 
693	322 322 359 313 336 359 
694	7 549 386 393 
695	420 454 714 483 
696	654 193 21 45 
697	500 631 106 548 489 
698	134 365 631 333 478 333 
699	295 704 701 385 
700	556 709 709 336 359 359 
701	193 545 204 714 
702	696 115 127 359 359 
703	612 52 282 516 321 
704	180 615 714 4 
705	285 27 615 474 
706	7 296 
707	308 436 188 296 
708	487 163 385 
709	547 500 365 416 458 
710	62 412 651 651 
711	549 214 290 71 258 
712	135 268 62 69 204 
713	127 341 359 701 359 
714	171 549 282 546 22 
715	7 132 244 374 
716	15 267 563 652 
717	545 370 479 376 
718	254 134 370 45 
719	506 364 447 741 
720	277 292 565 
721	526 692 684 651 651 
722	659 581 180 684 321 
723	26 684 217 1 
724	121 618 267 684 
725	363 567 460 457 
726	115 466 363 
727	113 29 529 507 
728	709 709 21 399 590 590 439 
729	264 208 
730	15 84 181 328 
731	113 296 282 359 22 359 
732	132 313 553 12 
733	364 315 328 
734	692 322 322 313 359 359 
735	627 399 374 
736	29 714 
737	33 399 124 282 
738	632 374 439 359 359 
739	120 707 553 664 536 321 
740	704 359 632 217 359 
741	89 547 295 548 729 729 
742	547 454 360 322 322 631 
743	352 177 580 341 
744	235 687 546 72 
745	323 199 359 544 359 
746	412 651 374 305 651 
747	19 309 341 359 359 
748	720 596 
749	457 62 514 741 
750	709 618 709 632 15 
751	377 327 140 
752	709 709 474 15 478 
753	542 313 239 
754	297 313 297 355 359 359 
755	132 305 439 714 
756	611 308 478 328 
757	322 322 388 
758	295 297 111 297 704 
759	709 311 709 563 359 359 
760	113 527 671 
761	472 24 
762	476 217 701 576 
763	606 344 610 
764	591 322 322 524 729 729 
765	14 668 18 15 
766	709 236 709 359 590 15 359 
767	15 581 563 209 
768	363 311 268 45 63 
769	327 386 415 576 
770	258 149 321 
771	747 297 297 457 359 458 359 
772	487 637 88 27 532 
773	93 201 607 344 106 
774	236 308 
775	449 341 684 720 
776	323 313 632 336 
777	581 709 709 388 478 
778	75 253 29 510 428 
779	322 202 322 573 319 239 
780	418 536 129 59 553 605 
781	747 375 239 662 
782	476 267 493 192 
783	7 549 704 236 
784	691 644 24 469 
785	665 406 40 
786	58 72 346 40 
787	295 33 692 684 
788	290 454 492 433 
789	347 720 192 328 
790	240 136 535 
791	487 7 437 238 
792	457 359 209 574 613 359 
793	189 177 618 684 
794	102 264 690 
795	308 675 
796	68 
797	308 411 436 
798	547 354 365 573 321 
799	585 377 327 416 
800	418 93 344 374 741 
801	476 618 688 359 359 
802	418 553 59 536 
803	502 213 528 
804	737 33 651 737 701 651 
805	144 514 71 258 
806	295 508 319 714 321 
807	325 615 305 321 385 
808	334 132 677 559 
809	213 
810	547 548 62 729 729 
811	247 270 451 489 
812	197 239 
813	21 313 478 714 321 
814	480 70 
815	517 706 454 440 
816	723 91 573 
817	648 606 98 375 
818	115 229 376 
819	585 18 
820	632 481 40 385 
821	548 651 319 458 729 729 651 
822	629 720 557 
823	15 323 127 563 460 
824	549 618 412 416 
825	737 315 91 651 737 651 
826	737 717 651 737 371 651 
827	659 360 192 675 
828	455 19 375 664 
829	115 313 217 359 359 
830	737 98 63 737 651 651 
831	113 337 546 
832	487 437 386 62 
833	236 378 62 516 
834	341 607 600 365 333 333 
835	665 123 283 731 
836	325 631 632 729 729 
837	322 322 740 729 729 
838	487 39 489 
839	659 360 385 
840	691 671 657 625 
841	547 343 548 458 729 729 
843	58 615 158 
844	742 132 535 661 
846	615 657 
847	282 478 682 22 
848	524 257 701 577 
849	462 532 433 458 
850	623 671 518 701 
851	313 217 359 592 359 
852	606 424 454 
853	7 375 374 576 
854	704 297 297 483 689 
855	98 444 462 249 
856	357 719 352 665 
857	545 347 465 746 
858	455 191 695 268 204 
859	436 576 603 22 
860	327 603 576 574 
861	172 563 69 359 359 359 
862	252 433 
863	611 591 308 
864	363 295 344 204 
865	506 28 512 117 
866	495 688 
867	202 553 
868	7 370 675 576 
869	75 510 149 407 
870	305 328 
871	153 322 322 111 651 651 
872	476 445 192 184 
873	606 676 163 
874	81 121 295 318 
875	301 678 
876	26 337 546 71 258 
877	344 651 374 359 651 359 
878	719 118 238 690 
879	171 737 344 737 651 651 
880	704 405 158 217 
881	312 399 282 392 22 
882	254 191 347 676 
883	322 322 365 631 548 729 729 
884	62 651 184 714 651 
885	26 202 484 478 
886	58 71 489 
887	322 322 91 344 651 651 
888	487 327 359 60 359 
889	134 436 188 718 
890	377 36 580 
891	172 15 478 704 
892	653 104 174 174 731 
893	322 322 500 548 522 
894	669 565 60 217 478 
895	709 363 709 590 478 258 
896	396 21 399 443 
897	132 328 
898	7 323 312 311 72 
899	271 232 418 258 
900	454 440 79 
901	202 304 304 745 745 343 
902	395 686 347 385 
903	28 24 577 707 
905	709 549 236 709 399 
906	134 434 539 318 
907	347 123 541 
908	363 344 412 106 
909	93 268 344 204 
910	585 442 199 98 328 
911	585 295 328 239 
912	549 336 478 359 359 
913	654 655 573 
915	52 344 209 679 
916	545 328 642 571 
917	388 296 91 24 
918	322 322 365 573 71 258 
919	466 367 
920	459 484 
921	115 386 91 651 651 
922	596 462 319 239 
923	322 322 268 45 63 353 
924	442 172 308 
925	468 643 305 707 577 
926	737 81 313 737 714 
927	737 313 737 544 714 
928	363 282 516 445 22 
929	311 412 62 439 
930	745 745 644 
931	387 364 604 
932	188 436 651 433 651 
933	563 444 359 385 359 
934	466 365 573 318 
935	98 28 
936	659 251 557 
937	737 444 651 737 714 651 
938	364 385 
939	692 632 460 359 359 
940	177 720 714 
941	251 603 
942	517 743 91 359 353 359 
943	71 258 707 613 
944	637 29 
945	633 363 650 
946	29 604 71 258 432 
947	289 567 445 507 276 
948	113 642 604 393 507 
949	157 550 548 522 
950	466 69 
951	236 267 108 720 
952	75 79 407 707 
953	487 547 354 573 
954	19 209 160 457 160 
955	352 72 
956	416 483 
957	709 341 709 632 359 359 
958	665 69 45 163 
959	585 377 
960	709 295 709 374 359 359 
961	615 108 675 29 
962	654 444 432 
963	606 
964	347 238 499 741 
965	484 460 676 652 
966	19 295 184 355 
967	327 58 492 149 
968	322 322 106 45 
969	364 
970	179 528 321 385 
971	412 344 328 
972	179 226 405 693 
973	202 331 282 374 
974	737 196 201 651 737 374 651 
975	108 184 478 359 359 
976	324 440 160 163 160 
977	15 547 322 322 365 631 333 333 
978	144 127 563 359 359 
979	113 18 546 
980	308 644 516 507 
981	563 313 359 143 359 
982	214 327 574 603 
983	228 62 45 610 
984	136 370 347 605 
985	386 365 631 687 333 333 
986	352 557 
987	98 344 457 359 359 
988	290 322 322 548 
989	115 33 479 359 359 
990	15 213 69 
991	33 308 296 481 
992	618 632 546 71 258 
993	747 315 350 34 
994	118 57 11 258 560 
995	411 436 258 
996	295 350 72 9 
997	93 344 204 160 160 
998	144 500 548 353 
999	7 111 445 217 
1000	654 89 500 548 
1001	669 405 313 565 
1002	311 18 209 664 
1003	49 553 536 129 
1004	418 648 537 
1005	631 412 63 573 
1006	331 644 296 701 
1007	692 279 279 365 333 333 
1008	134 91 313 701 
1009	113 315 
1010	322 563 322 313 359 359 
1011	737 687 62 651 737 651 
1012	104 63 573 
1013	585 19 98 625 
1014	606 377 192 
1015	7 29 11 
1016	466 365 63 573 
1017	15 709 709 590 355 321 
1018	637 134 304 304 741 
1019	619 619 197 9 682 
1020	18 359 71 353 258 359 
1021	341 535 572 174 174 
1022	7 172 108 313 
1023	704 445 15 73 
1024	58 717 618 192 
1025	15 669 632 439 359 359 
1026	717 313 632 209 
1027	737 19 444 651 737 651 
1028	692 313 632 359 359 
1029	27 328 595 559 
1030	692 623 671 518 
1031	618 282 632 319 
1032	585 322 322 365 333 321 333 
1033	191 631 365 63 333 333 
1034	454 360 484 
1035	450 113 91 701 
1036	235 388 
1037	563 267 217 15 
1038	606 411 436 
1039	308 632 355 374 
1040	502 445 514 481 
1041	115 328 645 576 
1042	267 615 313 514 
1043	399 63 514 
1044	347 704 684 479 
1045	631 365 573 
1046	19 479 478 704 
1047	235 106 412 344 
1048	29 
1049	704 209 459 238 
1050	157 447 438 720 
1051	277 132 388 459 
1052	462 458 
1053	487 58 172 9 
1054	500 548 71 258 
1055	574 
1056	454 440 
1057	115 18 632 481 
1058	323 704 359 632 359 
1059	89 547 692 500 
1060	709 709 563 675 385 
1061	202 612 52 514 
1062	58 84 
1063	69 63 217 133 
1064	121 618 632 546 
1065	535 514 
1066	549 457 313 359 359 
1067	565 528 117 
1068	437 93 62 63 147 
1069	709 549 709 651 478 651 
1070	193 737 737 460 71 258 
1071	352 277 223 45 
1072	585 377 308 644 
1073	549 123 675 714 
1074	98 615 573 
1075	111 596 428 
1076	311 202 18 209 
1078	277 686 311 474 
1079	709 297 709 563 297 682 
1080	15 549 341 615 
1081	388 359 475 239 359 
1082	567 9 
1083	737 308 436 737 514 71 258 
1084	475 337 687 
1085	411 436 188 
1086	669 308 481 71 258 
1087	727 18 174 328 
1088	386 224 209 701 
1089	268 331 465 63 11 
1090	322 322 213 528 
1091	737 91 651 737 374 651 489 
1092	15 172 202 632 
1093	98 359 344 336 359 
1094	341 684 29 603 574 
1095	388 643 343 
1096	387 118 17 
1097	403 7 290 71 258 
1098	7 572 731 163 
1099	650 720 532 318 321 
1100	509 356 653 340 
1101	16 472 18 23 
1102	665 327 692 62 
1103	709 709 563 590 546 
1104	26 709 236 709 399 
1105	115 514 728 559 
1106	391 
1107	69 204 514 258 
1108	308 192 
1109	454 370 63 333 333 
1110	548 740 729 729 
1111	412 45 651 532 458 321 651 
1112	454 174 174 
1113	386 209 29 478 
1114	295 313 359 704 359 
1115	370 28 625 
1116	313 184 15 359 359 
1117	487 573 489 
1118	265 341 669 730 
1120	709 709 590 632 305 714 
1121	681 202 308 
1122	586 192 401 714 
1123	651 740 729 651 729 
1124	388 354 137 
1125	26 709 709 563 361 
1126	212 440 676 
1127	21 563 344 704 
1128	563 108 565 460 
1129	618 202 308 516 
1130	608 533 705 
1131	331 296 282 445 22 
1132	476 313 445 359 359 
1133	130 
1134	737 98 651 737 469 651 
1135	487 63 560 577 
1136	618 399 282 209 22 
1137	299 192 
1138	611 308 465 481 
1139	199 39 632 319 458 
1140	655 500 548 574 
1141	585 71 258 
1142	450 604 430 
1143	279 279 365 63 333 333 
1144	655 128 63 573 
1145	268 687 45 204 359 359 
1146	290 686 559 
1147	132 712 559 
1148	395 720 
1149	644 319 462 662 
1150	476 399 184 536 129 
1151	636 363 253 407 
1152	737 737 651 29 40 651 
1153	21 359 514 460 359 
1154	312 395 686 433 
1155	7 444 445 319 318 
1156	476 341 359 344 359 
1157	581 106 359 359 576 
1158	738 416 328 
1159	487 88 454 746 
1160	322 322 500 548 353 
1161	15 295 717 172 458 
1162	709 704 172 709 590 313 
1163	437 27 386 615 
1164	45 62 209 569 458 
1165	15 479 478 359 359 
1166	737 549 322 322 651 737 651 
1167	113 192 253 407 
1168	644 604 346 568 
1169	214 175 577 707 
1170	709 341 709 60 15 
1171	202 308 192 481 
1172	554 333 163 740 333 
1173	509 356 193 313 321 
1174	181 631 687 333 321 333 
1175	709 709 590 484 336 
1176	128 63 573 
1177	81 563 355 359 359 
1178	388 174 174 642 671 
1179	633 58 732 222 
1180	520 454 746 12 
1181	521 7 24 29 
1182	665 528 321 
1183	709 172 709 399 590 460 
1184	171 184 478 359 359 
1185	585 108 174 428 
