Course	Room	Teacher	Time	Students
385	STOAUD	245	7	28 39 56 104 162 385 439 601 606 699 708 820 839 933 938 970 1060 
222	SHA213	195	1	29 1179 
720	SHA412	95	5	29 64 171 202 223 379 417 549 623 627 748 775 789 822 940 951 1050 1099 1148 
437	MAGILLHVID	132	4	30 368 437 550 641 791 832 1068 1163 
489	MAGILLHVID	43	1	31 437 697 811 838 886 1117 
664	STO207	196	13	32 739 828 1002 
315	MAGILLHVID	232	3	33 105 210 546 574 733 825 993 1009 
204	SHA412	54	1	33 41 102 126 241 303 321 379 383 384 401 565 701 712 858 909 997 1107 1145 
747	ESTW115	166	5	37 272 330 369 436 501 576 688 771 781 993 
532	MARSHAUD	245	3	37 772 849 1099 1111 
363	GST101	189	6	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151 
585	CHS101	97	1	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185 
58	STO10	157	7	41 53 88 140 203 287 342 430 595 665 670 680 786 843 886 967 1024 1053 1062 1179 
459	STO10	7	9	41 192 216 272 544 623 920 1049 1051 
213	LNKL309	282	1	42 237 279 341 382 475 480 521 640 809 990 1090 
565	SHA412	273	10	42 91 148 153 169 175 279 464 508 648 660 894 1001 1067 1128 
528	SHA412	282	8	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182 
704	STOAUD	318	3	43 44 163 204 240 364 371 377 405 408 429 443 542 544 606 623 653 658 699 740 758 783 854 880 891 1023 1044 1046 1049 1058 1114 1127 1162 
333	ESTW309	325	3	45 106 164 235 293 444 491 575 636 671 673 1007 1032 1172 
740	ESTW115	159	4	45 305 463 531 837 1123 
548	ESTW309	107	4	46 106 159 164 230 250 332 343 355 410 491 551 600 601 645 664 671 672 741 810 821 841 883 893 949 988 998 1000 1054 1110 1140 1160 
160	STO102	2	1	48 211 976 
460	SHA412	71	4	49 221 233 263 310 342 636 657 676 684 686 725 965 1070 1128 1183 
29	CHS104	215	2	49 84 113 198 254 272 322 537 629 683 727 736 778 944 946 1015 1048 1094 1113 1152 
45	SHA410	179	5	50 63 143 195 208 259 388 399 472 496 556 570 589 614 619 696 718 768 923 958 968 983 1111 1164 
63	SHA410	31	3	50 103 218 406 418 422 459 472 586 620 830 1012 1016 1043 1063 1068 1109 1135 1143 1144 1176 
308	HLS109	304	1	51 67 95 101 138 148 158 189 232 256 307 353 381 464 470 493 505 528 532 558 561 633 707 756 774 795 797 863 980 991 1039 1086 1108 1121 1129 1138 1171 
477	ESTW115	233	13	51 90 267 289 315 421 624 
692	GST101	330	4	53 186 195 303 331 371 450 625 642 674 679 721 734 939 1007 1028 1030 1059 1102 
181	MAGILLMR	18	1	53 203 282 311 394 555 730 1174 
192	STO10	26	1	54 65 129 173 265 268 273 330 416 417 466 486 782 827 872 1014 1024 1122 1137 1167 
184	GST102	76	5	54 181 185 363 453 659 872 884 966 975 1116 1150 1184 
386	HLS109	201	4	55 190 191 205 259 376 377 429 432 650 652 670 694 769 921 985 1088 1113 
576	STOAUD	68	8	56 77 182 455 528 622 762 769 853 859 860 868 1041 1157 
7	CHSAUD	178	1	57 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181 
406	MAGILLHVID	317	15	57 94 346 785 
416	GST102	169	6	57 88 168 218 310 709 799 956 1158 
328	HLS109	212	3	57 58 83 85 120 142 171 264 267 303 350 365 366 373 384 526 630 674 756 789 870 910 911 916 971 1029 1087 1158 
395	GST103	241	7	59 194 320 417 452 902 1148 1154 
546	CHS104	227	1	60 70 84 112 312 322 368 529 535 605 617 686 688 714 744 831 876 979 992 1064 
516	HLS11	194	2	61 187 189 256 353 402 980 
5	HLS109	251	5	61 
572	LNKL309	267	5	62 145 246 361 412 661 681 1021 1098 
106	HLS204	188	4	63 96 109 393 511 569 586 587 697 773 908 968 1047 1157 
1	TAYD	239	12	63 570 723 
110	HLS204	62	12	64 
457	WDS	46	3	65 162 192 199 225 441 510 625 675 678 725 749 771 792 954 987 1066 
479	GST102	329	2	66 124 328 387 415 717 989 1044 1046 
235	MAGILLHVID	195	8	69 79 348 435 494 744 1036 1047 
484	STO301	30	6	70 336 416 419 885 920 965 1034 1175 
89	ESTW115	159	14	71 183 645 741 1000 1059 
547	SHA412	8	9	71 106 230 343 491 601 671 709 741 742 798 810 841 953 977 1059 
500	SHA412	137	2	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160 
134	GST103	160	3	72 207 598 600 669 698 718 889 906 1008 1018 
651	SHAAUD	296	1	72 119 152 193 205 230 259 298 309 370 374 388 393 404 490 530 597 677 710 721 746 821 871 877 884 887 921 1111 1123 
408	MAGILLHVID	21	13	74 79 150 163 494 517 
292	ROB7	316	1	74 242 646 720 
620	TAYD	71	15	74 631 
59	STO207	196	15	75 780 802 
718	STO207	202	11	75 204 544 676 889 
717	HLL106	182	3	76 144 176 216 249 262 263 275 330 511 550 826 1024 1026 1161 
297	STO119	38	1	76 121 153 436 456 501 573 576 675 754 771 854 
69	HLS204	62	2	77 185 321 357 422 712 861 950 1063 1107 
610	HLS204	179	9	77 533 620 763 983 
305	WDS	67	2	78 142 201 218 371 486 508 513 604 610 746 755 807 870 925 
238	STO301	232	1	79 107 217 517 549 878 1049 
535	GST102	174	1	81 207 227 269 299 350 415 639 642 684 790 844 1021 1065 
411	LNKL205	56	2	82 183 231 292 307 319 505 797 995 1038 1085 
24	STO207	23	2	83 156 266 344 476 497 545 556 632 674 761 784 1181 
115	GST101	97	3	84 131 133 149 155 190 206 212 223 255 354 399 530 579 590 638 650 702 726 818 829 921 989 1041 1057 1105 
360	HLL106	124	2	86 89 132 143 214 228 276 310 401 485 540 676 742 1034 
454	GST101	290	1	86 89 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1034 1056 1109 1112 1159 1180 
436	OBS	297	1	87 183 187 231 281 292 319 474 577 859 889 932 995 1038 1085 
163	WDS	82	4	88 120 125 140 219 284 350 367 506 654 708 873 958 1098 1172 
615	ESTW309	134	7	89 100 155 161 166 192 239 243 277 296 357 415 623 638 659 704 705 807 846 961 1042 1074 1080 1163 
611	LNKL309	251	2	90 180 299 559 577 586 685 756 863 1138 
344	SHA410	248	2	91 107 108 152 196 393 418 484 499 530 533 572 666 763 773 800 864 877 879 908 909 915 971 987 997 1047 1093 1127 1156 
128	HLS204	87	6	93 102 435 666 1144 1176 
560	HLS204	54	8	93 327 459 1135 
466	SHA412	266	7	94 254 340 341 370 447 448 486 503 527 614 630 726 919 934 950 1016 
438	GST103	323	16	95 101 1050 
669	SHA412	224	3	95 126 151 153 169 306 411 475 480 508 514 521 552 648 660 894 1001 1025 1086 
732	STO102	68	2	97 171 1179 
224	HLL6	18	4	98 165 182 213 232 235 366 372 430 502 504 598 663 
731	GST102	228	8	99 128 194 298 835 892 1098 
84	MAGILLMR	143	3	100 119 311 323 442 560 730 1062 
481	STO14	259	2	101 126 300 304 419 516 617 991 1040 1086 
268	HLS204	54	3	102 113 321 376 379 383 478 666 712 768 858 909 923 1089 1145 
662	HLS204	248	7	102 548 556 572 781 1149 
553	STO207	85	4	103 118 200 269 281 448 732 739 780 802 867 1003 
321	STOAUD	276	4	104 114 189 346 477 528 559 673 703 722 770 798 806 813 970 1017 1032 1099 1111 1173 1174 1182 
239	STOAUD	133	6	104 108 234 274 295 374 391 410 497 510 516 589 615 753 779 781 812 911 922 1081 
62	SHA410	87	4	108 113 137 157 198 241 379 395 418 522 532 565 710 712 749 833 884 929 983 1011 1164 
236	HLL112	74	2	109 268 309 468 492 613 658 766 774 833 951 1104 
377	GST103	323	4	112 134 168 291 751 799 890 959 1014 1072 
352	GST103	182	5	112 266 290 333 485 743 856 955 986 1071 
631	STO10	225	3	115 147 159 196 208 261 283 395 439 477 518 519 589 664 668 692 697 742 836 883 977 985 1005 1033 1045 1174 
28	MAGILLHVID	145	2	117 358 595 657 865 903 935 1115 
641	STO207	196	20	118 
707	STO207	196	7	118 283 739 903 925 943 1169 
536	STO207	118	6	118 317 375 616 739 780 802 1003 
495	MAGILLMR	29	5	119 207 311 356 866 
267	STO301	116	3	121 326 348 716 724 782 951 1037 1042 
199	MAGILLHVID	239	7	122 135 151 479 688 745 910 1139 
355	ESTW115	83	8	124 224 425 453 590 754 966 1017 1039 1177 
123	MAGILLMR	170	4	129 225 334 534 835 907 1073 
311	HLL106	241	1	130 221 253 258 328 348 392 546 553 768 929 1002 1076 1078 
118	LNKL309	110	8	132 136 540 654 878 994 1096 
557	GST103	187	13	132 437 936 986 
324	TAYD	189	11	135 221 976 
165	MAGILLHVID	105	20	135 
223	TAYD	170	10	141 222 
133	HLS204	27	11	142 218 347 1063 
60	ESTW115	127	11	144 215 336 403 468 888 894 1170 
365	SHA217	192	1	146 147 395 431 460 518 543 575 673 698 709 798 834 883 918 934 977 985 1007 1016 1033 1045 1143 
9	MAGILLHVID	281	6	150 161 451 996 1019 1053 1082 
53	STO102	36	3	154 
310	STO10	199	12	159 
606	CHS101	180	3	160 345 667 763 817 852 873 963 1014 1038 
432	HLS204	54	10	160 619 946 962 
127	ESTW115	127	3	165 188 209 272 282 436 502 713 823 978 
325	HLL112	48	4	166 380 486 591 807 836 
136	TAYD	132	9	167 790 984 
734	TAYD	112	14	172 329 
440	LNKL309	171	4	173 349 389 390 815 900 976 1056 1126 
612	LNKL309	205	7	175 234 464 470 515 703 1061 
52	LNKL309	304	3	175 256 464 553 577 703 915 1061 
147	MAGILLHVID	73	5	178 435 462 525 634 646 663 
482	GST102	294	12	186 
240	TAYD	329	8	186 446 790 
746	LNKL309	218	9	186 565 655 857 1159 1180 
378	LNKL309	207	10	187 256 577 833 
188	OBS	39	5	189 281 292 319 474 505 528 707 889 932 1085 
79	STO301	14	7	196 461 463 900 952 
26	ESTW115	113	7	197 229 273 414 495 517 723 876 885 1104 1125 
132	HLL112	320	3	197 337 465 592 715 732 755 808 844 897 1051 1147 
27	MAGILLHVID	151	12	201 677 705 772 1029 1163 
714	WDS	67	1	202 423 599 736 755 940 1073 
487	GST101	78	5	209 355 404 406 466 506 513 708 772 791 832 838 888 953 1053 1117 1135 1159 
177	GST103	17	14	217 743 793 940 
627	TAYD	112	4	220 223 735 
442	MAGILLHVID	300	10	221 346 384 582 688 910 924 
19	HLL112	160	1	235 245 260 444 487 511 519 747 828 954 966 1046 
679	LNKL309	282	11	237 915 
665	GST103	323	2	238 240 374 561 654 785 835 856 958 1102 1182 
741	STO207	196	9	241 309 719 749 800 964 1018 
283	TAYD	71	7	242 603 835 
533	GST102	320	11	244 417 1130 
573	STO10	296	2	245 247 356 406 431 477 518 522 539 567 798 913 918 934 953 1005 1012 1016 1045 1074 1117 1144 1176 
655	STO10	50	10	247 522 567 913 1140 1144 
228	GST103	237	11	253 349 392 627 639 983 
581	ESTW115	254	12	255 454 536 722 767 777 1157 
545	LNKL309	228	6	264 568 628 684 701 717 857 916 
433	HLL201	61	1	264 361 390 514 569 620 634 849 862 1154 
158	TAYD	71	3	265 570 843 
144	GIACSWAN	165	1	266 302 465 564 648 805 978 998 
462	UN114	238	2	271 295 390 446 557 849 855 922 1052 1149 
375	STO207	185	1	274 316 525 627 653 663 672 676 781 
492	MAGILLHVID	101	14	275 641 788 967 
407	STOAUD	239	9	278 287 869 952 1151 1167 
217	STO14	146	1	283 590 635 723 762 880 894 1037 1063 
336	ESTW115	28	10	285 385 622 679 693 700 776 912 1093 1175 
197	GST102	11	10	289 812 1019 
290	GST103	153	6	294 352 545 665 711 788 988 1097 1146 
399	HLS11	293	1	297 735 737 881 896 1043 1136 1150 
439	ESTW115	61	2	297 313 324 594 618 656 728 929 
443	MAGILLHVID	90	18	298 680 896 
277	GST103	272	10	303 426 720 1051 1071 1078 
149	STO14	292	3	313 770 869 967 
175	TAYD	166	6	315 682 1169 
312	GST103	237	8	318 328 474 553 881 898 1154 
401	STO301	14	8	326 415 636 1122 
251	MAGILLHVID	230	9	333 342 526 547 560 936 941 
629	TAYD	104	13	334 822 
39	MAGILLHVID	317	11	359 549 568 659 838 1139 
347	ESTW115	19	1	375 439 658 789 857 882 902 907 964 984 1044 
554	MAGILLHVID	19	17	384 616 1172 
3	UN111	99	1	385 407 
388	HLS204	15	1	387 477 567 665 691 757 917 1036 1051 1081 1095 1124 1178 
374	STO16	168	1	399 606 608 738 800 973 
613	STO207	202	12	402 643 792 943 
17	MAGILLHVID	108	16	407 681 1096 
93	HLS204	248	5	418 422 533 666 773 800 909 997 1068 
502	TAYD	259	1	419 425 803 1040 
214	TAYD	241	2	452 982 1169 
580	GST103	1	15	485 743 890 
474	GST103	189	12	501 545 752 1078 
444	MARSHAUD	75	1	509 933 962 
81	GST102	174	9	557 874 926 1177 
140	STO207	311	18	563 751 
102	MAGILLHVID	90	19	568 794 
689	STO207	36	16	572 854 
736	STO207	311	19	583 
68	CHS101	180	4	607 796 
327	GST103	98	1	641 751 769 860 888 967 982 1102 
244	LNKL205	320	4	643 715 
12	STO207	68	14	681 732 1180 
483	TAYD	218	5	695 854 956 
596	STO301	30	9	748 922 1075 
253	STO14	146	4	778 1151 1167 
319	UN114	238	1	779 922 1031 1139 1149 
605	STO207	196	17	780 984 
249	UN111	133	3	855 
318	MARSHAUD	269	2	874 906 1099 1155 
36	GST103	17	17	890 
522	STO10	199	11	893 949 
276	UN111	186	2	947 
